Package;File;Feature;Technology;Confidence
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;AuthorityListEditor.java;PersistentBag;Hibernate;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;ConstraintProposer.java;Autowiring;Spring Beans;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterSonargraph.java;SessionFactory;Hibernate;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterSonargraph.java;Transactions;Hibernate;0.79999995
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterSonargraph.java;Session;Hibernate;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterSonargraph.java;Autowiring;Spring Beans;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterFactory.java;Autowiring;Spring Beans;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterDecisionBuddyAnalyzer.java;Autowiring;Spring Beans;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterPinot.java;SessionFactory;Hibernate;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterPinot.java;Session;Hibernate;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterPinot.java;Autowiring;Spring Beans;0.8933333
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;SolutionUsageStatistics.java;Autowiring;Spring Beans;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;SolutionRater.java;Autowiring;Spring Beans;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;AuthorityEditor.java;Autowiring;Spring Beans;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;AuthenticationProviderImpl.java;Autowiring;Spring Beans;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;HelperFunctions.java;Autowiring;Spring Beans;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;BlobEditor.java;Blobs;Java SQL;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ControllerTestConfig.java;SessionFactory;Hibernate;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ControllerTestConfig.java;EntityManager;JPA;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ControllerTestConfig.java;EntityManagerFactory;JPA;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ControllerTestConfig.java;Session;Hibernate;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;DatabaseTestConfig.java;EntityManager;JPA;0.46666664
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;DatabaseTestConfig.java;DataSource;Java SQL;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;DatabaseTestConfig.java;EntityManagerFactory;JPA;0.46666664
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;DatabaseTestConfig.java;Autowiring;Spring Beans;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;SecurityTestConfig.java;EntityManager;JPA;0.46666664
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;SecurityTestConfig.java;EntityManagerFactory;JPA;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ServiceTestConfig.java;SessionFactory;Hibernate;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ServiceTestConfig.java;EntityManager;JPA;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ServiceTestConfig.java;EntityManagerFactory;JPA;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ServiceTestConfig.java;Session;Hibernate;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;WebAppSecurityConfig.java;DataSource;Java SQL;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;WebAppSecurityConfig.java;Autowiring;Spring Beans;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;DatabaseConfig.java;SessionFactory;Hibernate;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;DatabaseConfig.java;EntityManager;JPA;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;DatabaseConfig.java;DataSource;Java SQL;0.87619054
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;DatabaseConfig.java;EntityManagerFactory;JPA;0.8888889
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;DatabaseConfig.java;Session;Hibernate;0.46666667
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;DatabaseConfig.java;Autowiring;Spring Beans;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Project.java;Specifying Primary Tables for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Project.java;Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Project.java;Generation of values for simple identifiers;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Project.java;Specifying IDs for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Project.java;Specifying Columns for fields;JPA;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Specifying Primary Tables for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Joining Columns for Entities;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Eager Relations Fetching;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Mapping Enums by Ordinal;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Generation of values for simple identifiers;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Mapping Enums;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Specifying IDs for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Specifying Columns for fields;JPA;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Property.java;Specifying Primary Tables for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Property.java;Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Property.java;Generation of values for simple identifiers;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Property.java;Specifying IDs for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Property.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;QualityGoal.java;Specifying Primary Tables for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;QualityGoal.java;Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;QualityGoal.java;Generation of values for simple identifiers;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;QualityGoal.java;Specifying IDs for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;QualityGoal.java;Specifying Columns for fields;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Specifying Primary Tables for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Cascade all operations;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Defining non-persistent properties or fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Collection Fetching (Immediate);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Generation of values for simple identifiers;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Mapping Joined Table Inheritance;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Mapping Inheritance;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Specifying IDs for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Joining Tables for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Specifying Columns for fields;JPA;0.8888889
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Refactoring.java;Specifying Primary Tables for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Refactoring.java;Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Refactoring.java;Joining Columns for Entities;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Refactoring.java;Eager Relations Fetching;JPA;0.73333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Refactoring.java;n-1 Associations;JPA;0.73333335
