Package;File;Feature;Technology;No. indicators found;Indicator Type;Confidence
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;Specifying Columns for fields;JPA;6;->;0.866667
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;Joining Columns for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;Mapping Inheritance;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;Specifying Primary Tables for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;Generation of values for simple identifiers;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;n-1 Associations;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;Mapping Joined Table Inheritance;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapGeneratorConfigurationImpl.java;Specifying IDs for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapConfigurationImpl.java;Specifying Columns for fields;JPA;5;->;0.853333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapConfigurationImpl.java;Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapConfigurationImpl.java;Specifying Primary Tables for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain.weave;OptionalEnterpriseSiteMapConfigurationSiteMapGeneratorConfigurationTemplate.java;Cascade all operations;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;CustomUrlSiteMapGeneratorConfigurationImpl.java;Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;CustomUrlSiteMapGeneratorConfigurationImpl.java;Specifying Primary Tables for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;CustomUrlSiteMapGeneratorConfigurationImpl.java;Cascade all operations;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.sitemap.domain;SiteMapUrlEntryImpl.java;Specifying Columns for fields;JPA;6;->;0.866667
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
