Package,File,Feature,Technology,Confidence,Used
bs.base.configuration.conf,jdbc-examples.properties,Support MySQL,Hibernate,0.29999998,T
bs.base.configuration.conf.install,jdbc-demo.properties,Support MySQL,Hibernate,0.29999998,T
bs.base.configuration.conf.install,jdbc.properties,Support MySQL,Hibernate,0.29999998,T
bs.base.configuration.conf,jdbc.properties,Support MySQL,Hibernate,0.29999998,T
bs.base.src.org.plazmaforge.bsolution.project.common.beans,Task.java,JDBC Work,Hibernate,0.4666665,N
bs.base.src.org.plazmaforge.bsolution.base,EnterpriseEnvironment.java,Session,Hibernate,0.46666652,N
framework.client.src.org.plazmaforge.framework.client.forms,AbstractFormController.java,EntityManager,JPA,0.46666655,N
bs.base.client.swt.src.org.plazmaforge.bsolution.finance.client.swt.acceptors,PensionReportDialog.java,JDBC Work,Hibernate,0.46666655,N
bs.base.client.swing.src.org.plazmaforge.bsolution.goods.client.swing.forms,ExecWorkItemEdit.java,JDBC Work,Hibernate,0.46666655,N
framework.src.org.plazmaforge.framework.platform.service.impl.ejb,EJBServiceEnvironment.java,Session,Hibernate,0.46666655,N
bs.base.client.swing.src.org.plazmaforge.bsolution.goods.client.swing.forms,ExecWorkEdit.java,JDBC Work,Hibernate,0.46666658,N
bs.base.src.org.plazmaforge.bsolution.project.common.beans,TaskWorkerLink.java,JDBC Work,Hibernate,0.46666658,N
framework.client.swing.src.org.plazmaforge.framework.client.swing.forms,EXTEditForm.java,JDBC Work,Hibernate,0.4666666,N
framework.client.src.org.plazmaforge.framework.client.controls,ControlProxy.java,DataSource,Java SQL,0.46666664,N
bs.base.client.swt.src.org.plazmaforge.bsolution.project.client.swt.forms,messages.properties,JDBC Work,Hibernate,0.46666664,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client,SWTClientApplicationManager.java,EntityManager,JPA,0.46666664,N
bs.base.client.swt.src.org.plazmaforge.bsolution.organization.client.swt.forms,AbstractOrganizableEditForm.java,Session,Hibernate,0.46666664,N
bs.base.client.swt.src.org.plazmaforge.bsolution.document.client.swt.forms,AbstractDocumentListForm.java,Session,Hibernate,0.46666664,N
bs.base.client.swt.src.org.plazmaforge.bsolution.payroll.client.swt.forms,InputWorktimeListForm.java,JDBC Work,Hibernate,0.46666664,N
bs.base.client.swt.src.org.plazmaforge.bsolution.payroll.client.swt.forms,PayrollEditForm.java,JDBC Work,Hibernate,0.46666664,N
bs.base.client.swt.classes.org.plazmaforge.bsolution.project.client.swt.forms,messages.properties,JDBC Work,Hibernate,0.46666664,N
framework.erm.src.org.plazmaforge.framework.erm.sql,SQLExecutor.java,EntityManager,JPA,0.46666664,N
framework.erm.src.org.plazmaforge.framework.erm.sql,SQLEntityManager.java,EntityManager,JPA,0.46666664,N
framework.client.swt.src.org.plazmaforge.framework.client.swt.controls,AbstractControl.java,DataSource,Java SQL,0.46666664,N
bs.base.client.swing.src.org.plazmaforge.bsolution.goods.client.swing.forms,ExecWorkList.java,JDBC Work,Hibernate,0.46666664,N
bs.base.client.swing.src.org.plazmaforge.bsolution.payroll.client.swing.forms,PayrollEdit.java,JDBC Work,Hibernate,0.46666664,N
framework.client.swing.src.org.plazmaforge.framework.client.swing.forms,EXTParentEditForm.java,JDBC Work,Hibernate,0.46666664,N
framework.src.org.plazmaforge.framework.sql,ResultSetReader.java,Blobs,Java SQL,0.46666664,N
framework.src.org.plazmaforge.framework.service.impl,AbstractService.java,EntityManager,JPA,0.46666664,N
bs.base.src.org.plazmaforge.bsolution.bank.server.services,BankImporter.java,Establishing direct Database Connection,Java SQL,0.46666664,N
bs.base.src.org.plazmaforge.bsolution.bank.server.services,ERMPaymentLinkManager.java,EntityManager,JPA,0.46666664,N
bs.base.src.org.plazmaforge.bsolution.product.server.services,ProductManagerServiceImpl.java,Establishing direct Database Connection,Java SQL,0.46666664,N
bs.base.src.org.plazmaforge.bsolution.finance.server.services,ERMEntryCalculateFinder.java,EntityManager,JPA,0.46666664,N
bs.base.src.org.plazmaforge.bsolution.finance.common.acceptors,BPensionReportByYearDialogAcceptor.java,JDBC Work,Hibernate,0.46666664,N
bs.base.src.org.plazmaforge.bsolution.payroll.common.beans,EmployeeTotal.java,JDBC Work,Hibernate,0.46666664,N
bs.base.src.org.plazmaforge.bsolution.payroll.common.beans,EmployeePayroll.java,JDBC Work,Hibernate,0.46666664,N
bs.base.src.org.plazmaforge.bsolution.payroll.common.beans,Payroll.java,JDBC Work,Hibernate,0.46666664,N
bs.base.configuration.conf,application-context-ds.xml,DataSource,Java SQL,0.46666667,N
bs.base.configuration.conf,report-config.xml,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf,report-config.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf,application-context.xml,DataSource,Java SQL,0.46666667,N
bs.base.configuration.conf.ui.swing,menubar-config.xml,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf.ui.swing,action-config.xml,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf.ui.swt,action-config.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf.ui.swt,action-config_ru.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf.ui.swt,menubar-config.xml,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf.ui.swt,action-config.xml,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf.ui.swt,action-config_bg.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf,report-config_bg.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.configuration.conf,report-config_ru.properties,JDBC Work,Hibernate,0.46666667,N
framework.client.src.org.plazmaforge.framework.client.forms,IFormController.java,EntityManager,JPA,0.46666667,N
framework.client.src.org.plazmaforge.framework.client.forms,IForm.java,DataSource,Java SQL,0.46666667,N
