Package,File,Feature,Technology,No. indicators found,Indicator Type,Confidence
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util,AuthorityListEditor.java,PersistentBag,Hibernate,3,->,0.8
,,,,,Importing,0.3
,,,,,Annotation,0.9
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util,ConstraintProposer.java,Autowiring,Spring Beans,3,->,0.8
,,,,,TypeUsage,0.9
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata,ImporterSonargraph.java,Session,Hibernate,8,->,0.883333
,,,,,Importing,0.3
,,,,,Calling,0.8
,,,,,Calling,0.8
,,,,,Calling,0.8
,,,,,Calling,0.8
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata,ImporterSonargraph.java,Transactions,Hibernate,5,->,0.8
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata,ImporterSonargraph.java,SessionFactory,Hibernate,3,->,0.8
,,,,,Importing,0.3
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata,ImporterSonargraph.java,Autowiring,Spring Beans,6,->,0.866667
,,,,,Importing,0.3
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata,ImporterFactory.java,Autowiring,Spring Beans,4,->,0.833333
,,,,,Importing,0.3
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata,ImporterDecisionBuddyAnalyzer.java,Autowiring,Spring Beans,4,->,0.833333
,,,,,Importing,0.3
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata,ImporterPinot.java,Autowiring,Spring Beans,10,->,0.893333
,,,,,Importing,0.3
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util,SolutionUsageStatistics.java,Autowiring,Spring Beans,2,->,0.733333
,,,,,Importing,0.3
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util,SolutionRater.java,Autowiring,Spring Beans,2,->,0.733333
,,,,,Importing,0.3
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util,AuthorityEditor.java,Autowiring,Spring Beans,2,->,0.733333
,,,,,Importing,0.3
,,,,,Annotation,0.9
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util,AuthenticationProviderImpl.java,Autowiring,Spring Beans,3,->,0.8
,,,,,Importing,0.3
,,,,,Annotation,0.9
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util,HelperFunctions.java,Autowiring,Spring Beans,3,->,0.8
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing,ControllerTestConfig.java,EntityManagerFactory,JPA,8,->,0.883333
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing,ControllerTestConfig.java,SessionFactory,Hibernate,4,->,0.833333
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing,DatabaseTestConfig.java,DataSource,Java SQL,6,->,0.866667
,,,,,Importing,0.3
,,,,,Annotation,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing,DatabaseTestConfig.java,Autowiring,Spring Beans,2,->,0.733333
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing,SecurityTestConfig.java,EntityManagerFactory,JPA,6,->,0.866667
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing,ServiceTestConfig.java,EntityManagerFactory,JPA,8,->,0.883333
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing,ServiceTestConfig.java,SessionFactory,Hibernate,4,->,0.833333
,,,,,Importing,0.3
,,,,,TypeUsage,0.9
,,,,,TypeUsage,0.9
main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production,WebAppSecurityConfig.java,DataSource,Java SQL,3,->,0.8
,,,,,Importing,0.3
