Package;File;Feature;Technology;Confidence
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;AuthorityListEditor.java;PersistentBag;Hibernate;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;ConstraintProposer.java;Autowiring;Spring Beans;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterSonargraph.java;SessionFactory;Hibernate;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterSonargraph.java;Transactions;Hibernate;0.79999995
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterSonargraph.java;Session;Hibernate;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterSonargraph.java;Autowiring;Spring Beans;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterFactory.java;Autowiring;Spring Beans;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterDecisionBuddyAnalyzer.java;Autowiring;Spring Beans;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util.analysisdata;ImporterPinot.java;Autowiring;Spring Beans;0.8933333
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;AuthenticationProviderImpl.java;Autowiring;Spring Beans;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.util;HelperFunctions.java;Autowiring;Spring Beans;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ControllerTestConfig.java;SessionFactory;Hibernate;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ControllerTestConfig.java;EntityManagerFactory;JPA;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;DatabaseTestConfig.java;DataSource;Java SQL;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;SecurityTestConfig.java;EntityManagerFactory;JPA;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ServiceTestConfig.java;SessionFactory;Hibernate;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.testing;ServiceTestConfig.java;EntityManagerFactory;JPA;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;WebAppSecurityConfig.java;DataSource;Java SQL;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;WebAppSecurityConfig.java;Autowiring;Spring Beans;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;DatabaseConfig.java;DataSource;Java SQL;0.87619054
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.config.production;DatabaseConfig.java;EntityManagerFactory;JPA;0.8888889
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Project.java;Specifying Columns for fields;JPA;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Joining Columns for Entities;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Eager Relations Fetching;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementFramework.java;Specifying Columns for fields;JPA;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Property.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;QualityGoal.java;Specifying Columns for fields;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Cascade all operations;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Defining non-persistent properties or fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Collection Fetching (Immediate);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Solution.java;Specifying Columns for fields;JPA;0.8888889
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Refactoring.java;Specifying Columns for fields;JPA;0.85333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;User.java;Collection Fetching (Immediate);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;User.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;DesignPattern.java;Loading (Eager);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;DesignPattern.java;Specifying Columns for fields;JPA;0.9047619
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Issue.java;Eager Relations Fetching;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Issue.java;Cascade all operations;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Issue.java;Collection Fetching (Immediate);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Issue.java;Specifying Columns for fields;JPA;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;WeightedQualityGoal.java;Joining Columns for Entities;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;WeightedQualityGoal.java;n-1 Associations;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;WeightedQualityGoal.java;Specifying IDs for Entities;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;COTSCategory.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;DesignPatternCategory.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementMetric.java;Joining Columns for Entities;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementMetric.java;Eager Relations Fetching;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementMetric.java;Specifying Columns for fields;JPA;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Comment.java;Specifying Columns for fields;JPA;0.85333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;FrameworkCategory.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;SolutionCandidate.java;Joining Columns for Entities;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;SolutionCandidate.java;Eager Relations Fetching;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;SolutionCandidate.java;n-1 Associations;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;SolutionCandidate.java;Specifying Columns for fields;JPA;0.8833334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Rating.java;Joining Columns for Entities;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Rating.java;Eager Relations Fetching;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Rating.java;n-1 Associations;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Rating.java;Specifying Columns for fields;JPA;0.86666673
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Decision.java;Cascade all operations;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Decision.java;Collection Fetching (Immediate);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Decision.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;TechnicalTerm.java;Collection Fetching (Immediate);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;TechnicalTerm.java;Specifying Columns for fields;JPA;0.87619054
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Authority.java;Collection Fetching (Lazy);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;COTS.java;Specifying Columns for fields;JPA;0.9047619
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;RefactoringCategory.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;StringValue.java;Specifying Columns for fields;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Constraint.java;Collection Fetching (Extra Lazy);Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Constraint.java;Eager Relations Fetching;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ArchitecturalPatternCategory.java;Specifying Columns for fields;JPA;0.8333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;Framework.java;Specifying Columns for fields;JPA;0.90833336
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementDesignPattern.java;Joining Columns for Entities;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementDesignPattern.java;Eager Relations Fetching;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ElementDesignPattern.java;Specifying Columns for fields;JPA;0.85333335
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ConstraintElement.java;Joining Columns for Entities;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ConstraintElement.java;Eager Relations Fetching;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ConstraintElement.java;n-1 Associations;JPA;0.8
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ConstraintElement.java;Entity Locking;Hibernate;0.93333334
.home.tobias.Documents.edu.WiSe1516.proj.DecisionBuddyMP2015.DecisionBuddy.src.main.java.de.uni_hamburg.informatik.swk.masterprojekt.decisionbuddy.model;ConstraintElement.java;Specifying Columns for fields;JPA;0.8333334
