Package;File;Feature;Technology;Confidence
framework.erm.src.org.plazmaforge.framework.erm.util;DBUtils.java;Establishing direct Database Connection;Java SQL;0.8933333
framework.erm.src.org.plazmaforge.framework.erm.util;DBUtils.java;Prepared Statements;Java SQL;0.85333335
framework.erm.src.org.plazmaforge.framework.erm.sql;ConnectionHolder.java;Establishing direct Database Connection;Java SQL;0.8333334
framework.erm.src.org.plazmaforge.framework.erm.sql;SQLExecutor.java;Establishing direct Database Connection;Java SQL;0.92380935
framework.erm.src.org.plazmaforge.framework.erm.sql;SQLEntityManager.java;Establishing direct Database Connection;Java SQL;0.91666645
framework.erm.src.org.plazmaforge.framework.erm.dialect;DialectFactory.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.dialect;Dialect.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.trigger;SLTrigger.java;Establishing direct Database Connection;Java SQL;0.86666673
framework.erm.src.org.plazmaforge.framework.erm.trigger;SQLTrigger.java;Establishing direct Database Connection;Java SQL;0.8333334
framework.erm.src.org.plazmaforge.framework.erm.trigger;SQLTrigger.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.trigger;AbstractTrigger.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.trigger;Trigger.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.query;DeleteExecutor.java;Establishing direct Database Connection;Java SQL;0.8888889
framework.erm.src.org.plazmaforge.framework.erm.query;Query.java;Establishing direct Database Connection;Java SQL;0.85333335
framework.erm.src.org.plazmaforge.framework.erm.query;Query.java;Prepared Statements;Java SQL;0.85333335
framework.erm.src.org.plazmaforge.framework.erm.query;InsertExecutor.java;Establishing direct Database Connection;Java SQL;0.87619054
framework.erm.src.org.plazmaforge.framework.erm.query;SelectExecutor.java;Establishing direct Database Connection;Java SQL;0.86666673
framework.erm.src.org.plazmaforge.framework.erm.query;QueryExecutor.java;Establishing direct Database Connection;Java SQL;0.9190473
framework.erm.src.org.plazmaforge.framework.erm.query;UpdateExecutor.java;Establishing direct Database Connection;Java SQL;0.86666673
framework.erm.src.org.plazmaforge.framework.erm.query;ModifyExecutor.java;Establishing direct Database Connection;Java SQL;0.8333334
framework.erm.src.org.plazmaforge.framework.erm.procedure;AbstractProcedure.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.procedure;Procedure.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.procedure;JavaProcedure.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;FloatType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;DateTimeType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;TimeType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;StringType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;YNBooleanType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;TimestampType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;DoubleType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;IntegerType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;ObjectType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;BooleanType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;DateType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;Type.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;ByteType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.type;LongType.java;Prepared Statements;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.event;Event.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.event;EventWrapper.java;Establishing direct Database Connection;Java SQL;0.8
framework.erm.src.org.plazmaforge.framework.erm.generator;IncrementGenerator.java;Establishing direct Database Connection;Java SQL;0.8
